,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
GA,34.8437542297449,0.0,33.2762759529784,0.0,33.0715994173596,0.0,30.3057352888846,0.0,33.6604077056927,0.0,34.9445289496338,0.0,34.800765080721,0.0,36.3786312164253
HI,35.3817985493901,0.0,35.7730120445087,0.0,33.8706602186425,0.0,36.6494695020162,0.0,35.5798656945718,0.0,35.2685081307579,0.0,35.6432994501781,0.0,39.0611644536528
ID,32.7789588257705,0.0,31.0080842030162,0.0,32.7195592700683,0.0,30.3041763900805,0.0,31.8914941934331,0.0,32.1418635340076,0.0,31.5683458968899,0.0,36.2923406194031
IL,33.6837688271388,0.0,33.4007180044442,0.0,33.3307806780555,0.0,34.0935235338412,0.0,34.9110597367075,0.0,34.6382560002732,0.0,34.9860767192198,0.0,38.3516330954177
IN,33.5725644158314,0.0,32.5943393104243,0.0,31.0285568406005,0.0,32.3354584757532,0.0,31.9093304688998,0.0,33.8787906644571,0.0,32.8059217803115,0.0,37.1708454981215
IA,31.4375920288391,0.0,32.7973911116601,0.0,31.9769025153129,0.0,33.362092049338,0.0,31.5918847353494,0.0,31.8390869725102,0.0,34.0658359340295,0.0,36.3937488441289
KS,32.578119333808,0.0,30.6867021169671,0.0,29.9881519688043,0.0,32.0201400703027,0.0,33.6947674303947,0.0,32.8045514105601,0.0,34.2902609285866,0.0,35.247129363962
KY,33.0952076118949,0.0,32.4487598499816,0.0,30.898472371915,0.0,30.9152060310756,0.0,33.5501303210126,0.0,33.6797362461652,0.0,35.4303586055761,0.0,38.0487671151356
LA,33.5897364387623,0.0,32.2133481404455,0.0,33.7119498641244,0.0,34.1978516345152,0.0,33.0920183047257,0.0,34.137517418883,0.0,35.0418948180716,0.0,36.8825005932713
ME,31.8153378214122,0.0,29.6939500608368,0.0,31.415762394436,0.0,32.9051991564898,0.0,33.8542344292418,0.0,30.2457096043994,0.0,35.572924124246,0.0,37.0699830861196
MD,36.0774431401059,0.0,33.4098265203058,0.0,33.9137667966724,0.0,33.8373569114836,0.0,33.0603139823712,0.0,35.6693064743543,0.0,38.3340047857316,0.0,39.6066001741674
MA,32.958301327742,0.0,31.6891214860618,0.0,33.1214138248505,0.0,33.4284310471113,0.0,34.8310172526831,0.0,34.6479713172809,0.0,35.5740442962544,0.0,37.4815731461038
MI,33.6910584819428,0.0,33.9146302438206,0.0,34.9525717347132,0.0,31.9974758693403,0.0,32.2972715703193,0.0,32.6784501270811,0.0,34.2407742745041,0.0,34.8041816869858
MN,32.7326916630472,0.0,32.6976661030978,0.0,31.5044157704551,0.0,33.2200329677809,0.0,33.6592445462578,0.0,33.9800906470379,0.0,35.3378538895393,0.0,36.9426708687957
MS,33.7843602911793,0.0,33.7255534733494,0.0,34.0193700465607,0.0,32.8113408321737,0.0,33.7007273703298,0.0,34.7115846610251,0.0,35.2906309497991,0.0,35.5504802039255
MO,31.8865190023106,0.0,33.5571345923986,0.0,31.4936253947827,0.0,33.2157115637946,0.0,34.1765791668765,0.0,34.3982153278472,0.0,34.7638060677935,0.0,36.2734420159731
MT,30.1935134152619,0.0,29.3174230347737,0.0,29.3318694800416,0.0,29.8473507035294,0.0,31.2004749846088,0.0,30.5511829686643,0.0,32.210259763018,0.0,35.3520226034138
NE,31.2504034345586,0.0,32.3352220775847,0.0,31.2851354529733,0.0,31.6550691788006,0.0,31.4999685551253,0.0,32.1053794765879,0.0,33.9142022492014,0.0,35.4972182462513
NV,36.0557237992989,0.0,37.4472634217652,0.0,35.5112488792804,0.0,35.6681950162113,0.0,35.5419498019458,0.0,34.121304760385,0.0,34.6943914204932,0.0,37.7103479027879
NH,32.3598745385635,0.0,30.3545360192843,0.0,32.0598080323132,0.0,30.007372438917,0.0,32.4585975658105,0.0,31.7676606613753,0.0,32.574679492498,0.0,35.1840627648214
NJ,33.2251506722908,0.0,32.859392287496,0.0,31.7391253013812,0.0,32.5254469492167,0.0,32.6253239397391,0.0,35.3726623375563,0.0,36.8521216197392,0.0,41.8909678471043
