,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AL,229.426000976563,0.0,229.754000854492,0.0,232.949996948242,0.0,237.270001220703,0.0,236.054502105713,0.0,239.265001678467,0.0,234.328500366211,0.0,230.386500549317
AK,237.100003051758,0.0,238.155999755859,0.0,239.594000244141,0.0,240.52799987793,0.0,238.653000640869,0.0,237.624499511719,0.0,236.429999542236,0.0,229.020499420166
AZ,232.155996704102,0.0,231.670001220703,0.0,234.757995605469,0.0,238.594000244141,0.0,239.7005027771,0.0,241.902500152588,0.0,242.679499816895,0.0,236.728997802734
AR,236.660003662109,0.0,237.055999755859,0.0,236.833996582031,0.0,237.92399597168,0.0,240.487999725342,0.0,237.251999664307,0.0,238.540000152588,0.0,234.564500427246
CA,226.680001831055,0.0,228.643997192383,0.0,230.363998413086,0.0,232.145999145508,0.0,239.788501739502,0.0,237.341499328613,0.0,239.695999908447,0.0,233.741999816895
CO,243.52200012207,0.0,247.109997558594,0.0,246.646002197266,0.0,250.554000854492,0.0,250.47200012207,0.0,247.172502136231,0.0,248.523499298096,0.0,245.558499145508
CT,242.307998657227,0.0,245.051998901367,0.0,251.202001953125,0.0,254.32200012207,0.0,253.440501403809,0.0,252.263000488281,0.0,249.816000366211,0.0,246.273999023437
DC,214.861999511719,0.0,217.603997802734,0.0,218.658001708984,0.0,216.642001342774,0.0,224.327501678467,0.0,222.898999023438,0.0,220.163498687744,0.0,223.116001129151
DE,248.138000488281,0.0,245.106002807617,0.0,245.65,0.0,245.311999511719,0.0,244.723999023438,0.0,241.186499786377,0.0,239.45299911499,0.0,235.167001342774
FL,232.930001831055,0.0,238.839999389648,0.0,243.607998657226,0.0,240.858001708985,0.0,244.895499420166,0.0,243.093997955322,0.0,245.611999511719,0.0,239.313499450684
GA,234.266000366211,0.0,237.623999023437,0.0,240.119998168945,0.0,242.207998657227,0.0,243.293999481201,0.0,241.187499237061,0.0,243.964498901367,0.0,239.029498291016
HI,225.855999755859,0.0,230.570001220703,0.0,234.08200378418,0.0,235.289999389648,0.0,238.616999816895,0.0,235.303499603272,0.0,239.715498352051,0.0,233.998998260498
ID,244.337994384766,0.0,246.938000488281,0.0,245.058001708984,0.0,249.360003662109,0.0,250.741498565674,0.0,250.176498413086,0.0,250.656998443604,0.0,246.161000061035
IL,242.580001831055,0.0,242.823999023437,0.0,244.736001586914,0.0,244.988000488281,0.0,245.967000579834,0.0,245.773998260498,0.0,245.530498504639,0.0,241.25350112915
IN,240.583999633789,0.0,244.377996826172,0.0,247.113998413086,0.0,246.090002441407,0.0,247.667500305176,0.0,248.346501159668,0.0,251.869000244141,0.0,243.034501647949
IA,247.769998168946,0.0,249.039999389649,0.0,246.160000610352,0.0,245.114001464844,0.0,250.121999359131,0.0,249.641002655029,0.0,248.610002136231,0.0,240.724499511719
KS,245.726000976562,0.0,249.597998046875,0.0,248.070004272461,0.0,247.568002319336,0.0,247.023498535156,0.0,247.103500366211,0.0,246.485999298096,0.0,241.737999725342
