,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AL,277.977996826172,0.0,276.909991455078,0.0,279.885992431641,0.0,281.569995117188,0.0,281.075999450684,0.0,281.601998901367,0.0,283.605497741699,0.0,279.49949798584
AK,282.367999267578,0.0,282.985998535156,0.0,282.764001464844,0.0,286.487994384766,0.0,286.711499023438,0.0,286.684500122071,0.0,281.988497924805,0.0,279.229501342774
AZ,279.135998535156,0.0,280.153997802734,0.0,282.765997314453,0.0,283.923999023438,0.0,283.701000976563,0.0,286.478503417969,0.0,286.173498535156,0.0,284.402000427246
AR,281.711999511719,0.0,281.394000244141,0.0,282.596008300781,0.0,283.638000488281,0.0,285.811502075195,0.0,282.819000244141,0.0,284.562498474121,0.0,285.886003112793
CA,276.178002929687,0.0,277.024005126953,0.0,278.170001220703,0.0,279.552001953125,0.0,285.274496459961,0.0,284.41950378418,0.0,288.244499206543,0.0,286.140000915527
CO,287.525994873047,0.0,288.682000732422,0.0,287.671997070312,0.0,294.010003662109,0.0,294.083503723145,0.0,292.019497680664,0.0,295.071499633789,0.0,292.477996826172
CT,289.076000976563,0.0,291.740002441406,0.0,295.673999023438,0.0,297.55400390625,0.0,298.184501647949,0.0,297.055995178223,0.0,298.241502380371,0.0,296.100999450684
DC,262.137994384766,0.0,263.75400390625,0.0,266.840002441406,0.0,269.516003417969,0.0,271.970497131348,0.0,272.733001708984,0.0,274.38049621582,0.0,278.438996887207
DE,285.413995361328,0.0,285.922003173828,0.0,285.869995117188,0.0,287.85,0.0,288.630999755859,0.0,286.714498901367,0.0,288.495500183105,0.0,287.169998168945
FL,281.164007568359,0.0,283.761999511719,0.0,286.873999023438,0.0,285.367999267578,0.0,288.516497802735,0.0,285.826000976563,0.0,290.250505065918,0.0,289.991999816895
GA,280.805999755859,0.0,281.585992431641,0.0,282.688000488281,0.0,283.408001708984,0.0,287.358500671387,0.0,285.950498962402,0.0,290.612498474121,0.0,287.905500793457
HI,273.471997070313,0.0,275.607995605469,0.0,278.043994140625,0.0,281.945989990235,0.0,284.258502197266,0.0,281.669999694824,0.0,285.898495483399,0.0,285.376502990723
ID,286.888006591797,0.0,286.079992675782,0.0,287.379998779297,0.0,288.30599975586,0.0,292.294499206543,0.0,290.678498840332,0.0,291.496501159668,0.0,291.312498474121
IL,286.728002929688,0.0,285.344000244141,0.0,287.687994384766,0.0,288.769995117188,0.0,291.131002807617,0.0,290.388996887207,0.0,291.063998413086,0.0,291.233499145508
