,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AL,254.638000488281,0.0,254.185998535156,0.0,257.592004394531,0.0,260.01000366211,0.0,259.50299987793,0.0,260.958000183106,0.0,260.288999938965,0.0,256.296998596192
AK,261.615997314453,0.0,262.270001220703,0.0,262.328002929687,0.0,264.80599975586,0.0,264.170498657227,0.0,264.636499023437,0.0,261.539501953125,0.0,255.83099899292
AZ,256.86000366211,0.0,257.223999023438,0.0,261.189996337891,0.0,262.572003173828,0.0,262.6125,0.0,265.060998535156,0.0,264.974501037598,0.0,261.409999084473
AR,260.528002929688,0.0,260.637994384766,0.0,261.449993896484,0.0,262.190002441406,0.0,264.318498229981,0.0,261.452499389649,0.0,262.746997070313,0.0,261.45050201416
CA,252.211999511719,0.0,254.303997802734,0.0,255.566000366211,0.0,256.873999023437,0.0,263.208499145508,0.0,261.976501464844,0.0,264.477000427246,0.0,261.40299987793
CO,266.576000976563,0.0,268.897998046875,0.0,267.915997314453,0.0,273.165991210938,0.0,272.964001464844,0.0,271.287997436524,0.0,272.7,0.0,270.567001342773
CT,266.609997558594,0.0,269.566003417969,0.0,275.008001708985,0.0,276.772003173828,0.0,277.059001159668,0.0,275.477502441406,0.0,275.394999694824,0.0,272.832501220703
DC,238.748001098633,0.0,240.961996459961,0.0,243.723999023437,0.0,243.882000732422,0.0,249.271001434326,0.0,248.509999847412,0.0,248.131499481201,0.0,251.606001281738
DE,267.358001708985,0.0,265.767999267578,0.0,266.557995605469,0.0,267.090002441406,0.0,267.773999023438,0.0,265.021499633789,0.0,265.851498413086,0.0,262.71549987793
FL,258.602001953125,0.0,262.520001220703,0.0,265.971997070313,0.0,264.064001464844,0.0,267.208502197266,0.0,264.776498413086,0.0,269.055500793457,0.0,265.768002319336
GA,257.835998535156,0.0,260.182000732422,0.0,261.853991699219,0.0,263.383996582031,0.0,265.39049987793,0.0,264.49649810791,0.0,268.563499450684,0.0,265.137998962402
HI,250.064001464844,0.0,253.809997558594,0.0,257.388006591797,0.0,260.375994873047,0.0,262.453999328613,0.0,259.67699584961,0.0,264.260997009278,0.0,260.636001586914
ID,266.933996582031,0.0,267.223999023438,0.0,267.770007324219,0.0,269.262005615234,0.0,271.970002746582,0.0,271.500503540039,0.0,272.525500488281,0.0,270.263499450684
IL,265.45,0.0,265.196002197266,0.0,267.235998535156,0.0,267.455993652344,0.0,269.39949798584,0.0,268.571501159668,0.0,269.474499511719,0.0,267.895500183106
IN,263.164001464844,0.0,265.911999511719,0.0,267.317999267578,0.0,267.083996582032,0.0,268.961999511719,0.0,270.666499328613,0.0,273.872499084473,0.0,269.451502990723
IA,268.870001220703,0.0,270.318005371094,0.0,267.778002929688,0.0,267.615997314453,0.0,271.084503173828,0.0,270.419000244141,0.0,270.868501281738,0.0,265.92200012207
KS,268.705999755859,0.0,270.280004882813,0.0,268.582000732422,0.0,270.008001708985,0.0,269.974998474121,0.0,269.393501281738,0.0,270.136999511719,0.0,266.251496887207
KY,265.80400390625,0.0,263.031994628906,0.0,268.429998779297,0.0,270.266003417969,0.0,270.812001037598,0.0,269.631996154785,0.0,267.0875,0.0,266.190998840332
LA,254.475997924805,0.0,254.611999511719,0.0,254.812002563476,0.0,256.50199584961,0.0,258.581999206543,0.0,257.370503234863,0.0,258.799501037598,0.0,259.783497619629
ME,271.323999023438,0.0,271.621990966797,0.0,269.468005371094,0.0,271.489996337891,0.0,271.282499694824,0.0,270.764999389648,0.0,271.82850189209,0.0,268.622998046875
MD,262.224005126953,0.0,266.733996582031,0.0,268.309997558594,0.0,272.332000732422,0.0,274.332998657227,0.0,269.043502807617,0.0,268.787001037598,0.0,267.617997741699
MA,276.108001708984,0.0,275.402001953125,0.0,275.360003662109,0.0,277.692004394531,0.0,279.483001708984,0.0,277.560499572754,0.0,280.451998901367,0.0,276.567999267578
MI,263.49599609375,0.0,262.767999267578,0.0,264.141998291015,0.0,266.490002441406,0.0,267.34049987793,0.0,266.211500549317,0.0,268.107502746582,0.0,265.201000976563
MN,270.923992919922,0.0,270.662005615234,0.0,272.939996337891,0.0,272.672003173828,0.0,273.734999084473,0.0,272.991996765137,0.0,272.054499816895,0.0,267.079997253418
