,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AL,297.867999267578,0.0,296.094000244141,0.0,297.4,0.0,300.412005615235,0.0,299.546000671387,0.0,299.695001220703,0.0,302.501997375488,0.0,298.856999206543
AK,300.266003417969,0.0,300.098004150391,0.0,299.915997314453,0.0,303.652001953125,0.0,305.535000610352,0.0,304.864498901367,0.0,299.286499023438,0.0,298.401997375488
AZ,297.723999023438,0.0,299.367999267578,0.0,301.635992431641,0.0,302.484002685547,0.0,301.52099609375,0.0,304.187001037598,0.0,303.965498352051,0.0,303.938505554199
AR,299.611999511719,0.0,298.665997314453,0.0,301.014001464844,0.0,301.178002929688,0.0,304.207998657227,0.0,301.195495605469,0.0,303.013999938965,0.0,306.180996704102
CA,295.972003173828,0.0,296.75,0.0,297.596002197266,0.0,300.253997802735,0.0,304.658003234863,0.0,302.857498168945,0.0,308.464501953125,0.0,307.003498840332
CO,306.660003662109,0.0,304.422003173828,0.0,303.870007324219,0.0,310.925994873047,0.0,311.824002075195,0.0,308.851998901367,0.0,313.568501281738,0.0,310.951000976563
CT,307.617999267578,0.0,309.903997802734,0.0,312.765997314453,0.0,315.74599609375,0.0,316.284002685547,0.0,315.650001525879,0.0,316.676499938965,0.0,314.546502685547
DC,284.114001464844,0.0,284.546002197266,0.0,287.658001708984,0.0,291.915997314453,0.0,293.258996582031,0.0,296.143998718262,0.0,299.025500488281,0.0,302.983499145508
DE,301.576000976563,0.0,302.793994140625,0.0,302.070007324219,0.0,306.558001708984,0.0,307.087001037598,0.0,305.519998168946,0.0,307.911497497559,0.0,307.709001159668
FL,300.019995117188,0.0,301.043994140625,0.0,305.002001953125,0.0,303.45,0.0,306.787501525879,0.0,303.414999389649,0.0,307.657501220703,0.0,309.939001464844
GA,300.501995849609,0.0,299.329998779297,0.0,301.078002929687,0.0,300.541998291016,0.0,306.831498718262,0.0,304.607997131348,0.0,309.060499572754,0.0,306.653497314453
HI,292.022003173828,0.0,294.629998779297,0.0,295.579998779297,0.0,301.134002685547,0.0,302.760502624512,0.0,300.410998535156,0.0,303.808000183106,0.0,305.996998596192
ID,303.714001464844,0.0,301.883996582031,0.0,303.938000488281,0.0,305.342004394531,0.0,309.152000427246,0.0,306.512503051758,0.0,307.464001464844,0.0,308.923501586914
IL,305.151995849609,0.0,303.275994873047,0.0,304.16000366211,0.0,307.323992919922,0.0,309.181500244141,0.0,309.059002685547,0.0,309.616500854492,0.0,311.004002380371
IN,301.486004638672,0.0,303.90400390625,0.0,303.676000976563,0.0,303.683996582031,0.0,306.48800201416,0.0,308.665998840332,0.0,312.215002441406,0.0,310.569000244141
IA,305.772003173828,0.0,306.129998779297,0.0,302.95599975586,0.0,303.946002197266,0.0,307.119999694824,0.0,306.369999694825,0.0,307.695001220703,0.0,305.405497741699
KS,307.24599609375,0.0,303.592004394531,0.0,303.511999511719,0.0,305.980010986328,0.0,307.328001403809,0.0,306.074502563477,0.0,308.937498474121,0.0,304.814999389648
KY,304.315997314453,0.0,302.953997802734,0.0,305.0,0.0,307.371997070313,0.0,311.207502746582,0.0,309.341999816895,0.0,308.822499084473,0.0,308.858000183106
LA,293.866003417969,0.0,293.555999755859,0.0,294.668005371094,0.0,296.368005371094,0.0,298.571501159668,0.0,297.500001525879,0.0,300.076002502442,0.0,302.687001037598
ME,309.648004150391,0.0,306.189996337891,0.0,306.332000732422,0.0,310.109997558594,0.0,310.714498901367,0.0,305.011003112793,0.0,311.728002929688,0.0,309.433502197266
MD,306.446002197266,0.0,307.199993896485,0.0,310.202001953125,0.0,313.932000732422,0.0,316.042501831055,0.0,312.766499328613,0.0,315.153498840332,0.0,312.002998352051
MA,313.584002685547,0.0,311.994000244141,0.0,314.359997558594,0.0,316.084002685547,0.0,319.118499755859,0.0,315.951498413086,0.0,320.605500793457,0.0,317.406001281738
MI,302.016003417969,0.0,301.14599609375,0.0,304.660003662109,0.0,304.970001220703,0.0,305.985501098633,0.0,304.965498352051,0.0,306.83500213623,0.0,305.118998718262
MN,307.514001464844,0.0,306.922003173828,0.0,306.813995361328,0.0,309.788000488281,0.0,311.086003112793,0.0,310.556999206543,0.0,310.49700012207,0.0,308.052000427246
MS,292.620001220703,0.0,291.673999023438,0.0,293.097998046875,0.0,294.15,0.0,294.253002929688,0.0,294.631999206543,0.0,300.114999389649,0.0,299.562501525879
MO,304.837994384766,0.0,304.267999267578,0.0,305.009997558594,0.0,306.521997070313,0.0,308.485498046875,0.0,308.44349822998,0.0,307.401000976563,0.0,306.449002075195
MT,305.934002685547,0.0,305.389996337891,0.0,305.881994628906,0.0,308.778002929688,0.0,308.983000183106,0.0,307.391499328613,0.0,305.54400177002,0.0,306.810002136231
NE,305.478009033203,0.0,305.972003173828,0.0,304.076000976563,0.0,305.972003173828,0.0,307.924502563477,0.0,307.783995056152,0.0,308.873500061035,0.0,306.858500671387
NV,296.697998046875,0.0,297.120001220703,0.0,296.518005371094,0.0,301.357995605469,0.0,304.682501220703,0.0,301.248002624512,0.0,302.15299987793,0.0,303.243002319336
NH,309.727996826172,0.0,307.3,0.0,310.538000488281,0.0,308.890002441407,0.0,314.311996459961,0.0,312.965000915528,0.0,314.08150177002,0.0,310.32850189209
NJ,310.596002197266,0.0,309.349993896484,0.0,311.776007080078,0.0,315.29599609375,0.0,316.524502563477,0.0,313.894996643066,0.0,319.987997436524,0.0,320.76549987793
NM,293.246002197266,0.0,291.023999023438,0.0,294.889996337891,0.0,295.667999267578,0.0,296.257499694824,0.0,293.662498474121,0.0,299.771003723145,0.0,300.213499450684
NY,307.547998046875,0.0,305.070007324219,0.0,306.270007324219,0.0,308.261999511719,0.0,310.199499511719,0.0,307.756500244141,0.0,310.026998901367,0.0,308.668002319336
