,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ND,270.243755830946,0.0,268.017670542433,0.0,269.239984852546,0.0,268.694217893061,0.0,267.779199654396,0.0,266.95532299054,0.0,265.081921805495,0.0,263.232797461833
OH,266.767281184036,0.0,267.978979400559,0.0,268.67823553327,0.0,268.283949224188,0.0,269.086973442103,0.0,265.879220258589,0.0,268.450641614295,0.0,267.049051157634
OK,259.631359955752,0.0,259.547225161046,0.0,259.495771007061,0.0,260.121264611744,0.0,261.931495221637,0.0,262.673145850428,0.0,261.236933515587,0.0,258.197131397005
OR,263.156890818544,0.0,265.710210180337,0.0,265.08924671644,0.0,264.225611626444,0.0,268.282662715666,0.0,267.670519675172,0.0,266.216684155209,0.0,263.721671156725
PA,266.821911059188,0.0,267.665630227785,0.0,270.700536709088,0.0,267.750596675669,0.0,272.085365342425,0.0,268.746120751013,0.0,269.55382331575,0.0,264.180562730245
RI,260.968326762196,0.0,258.321117711185,0.0,259.885589729898,0.0,265.119556331117,0.0,266.677052388789,0.0,265.050857832059,0.0,265.767859953914,0.0,262.146157582051
SC,257.16910456442,0.0,257.421202792973,0.0,257.274184592561,0.0,260.307019898795,0.0,261.449050699613,0.0,260.331422813083,0.0,259.753002398086,0.0,258.976515885229
SD,268.540435645755,0.0,269.596763416027,0.0,270.06099022928,0.0,268.941537575366,0.0,268.100772835989,0.0,267.079864989695,0.0,267.355726574154,0.0,262.770856466814
TN,259.072341834008,0.0,259.161954905287,0.0,260.946676191649,0.0,259.208370713199,0.0,265.359504625647,0.0,264.771228998921,0.0,262.046852903713,0.0,262.462713482116
TX,258.191597999486,0.0,260.812919224922,0.0,260.368795018986,0.0,261.428390874698,0.0,263.684137731278,0.0,260.655135980903,0.0,260.342576542804,0.0,255.742396588221
UT,261.87087212251,0.0,262.228024678962,0.0,265.591577109328,0.0,267.087406099162,0.0,270.041925765873,0.0,269.430664700586,0.0,268.7524196631,0.0,267.417962093047
VT,268.772420626961,0.0,273.045757236707,0.0,272.305134189083,0.0,273.840765049115,0.0,274.368547733738,0.0,273.961831447048,0.0,273.402640307413,0.0,268.481107043375
VA,267.808966738154,0.0,266.878737486076,0.0,265.641981716133,0.0,267.272891187823,0.0,267.589864309109,0.0,266.836053468874,0.0,267.744778499104,0.0,261.798121159611
WA,264.656551932316,0.0,264.947778144606,0.0,266.917617143622,0.0,267.577473732317,0.0,272.036124410819,0.0,267.250880666457,0.0,271.617022995208,0.0,266.277038164971
WV,255.0733795631,0.0,254.998552385478,0.0,254.799747493408,0.0,256.106861556751,0.0,257.383509312362,0.0,260.185272642999,0.0,258.700303604492,0.0,255.624126301159
WI,266.228560789199,0.0,264.184509633385,0.0,265.812615742952,0.0,267.16702974162,0.0,267.542994187833,0.0,269.533726363214,0.0,269.371456395493,0.0,267.383822656073
WY,268.124234884295,0.0,266.22554358249,0.0,268.159428117446,0.0,269.568729685871,0.0,270.966172221906,0.0,268.803363090763,0.0,269.020028155068,0.0,264.641626105741
